ID,Orig_ON,Orig_FROM,Orig_TO,On,From,To
196,W. 38th St. (3800S),S. Western Ave. (2400W),S. Halsted St. (800W),38TH ST,WESTERN AVE,HALSTED ST
197,W. 40th St. (4000S),S. Campbell Ave. (2500W),S. Western Ave. (2400W),40TH ST,CAMPBELL AVE,WESTERN AVE
198,W. 80th St. (8000S),S. Kedzie Ave. (3200W),S. Western Ave. (2400W),80TH ST,KEDZIE AVE,WESTERN AVE
199,W. 102nd St. (10200S),S. Aberdeen St. (1100W),S. Normal Ave. (500W),102ND ST,ABERDEEN ST,NORMAL AVE
200,W. 80th St. (8000S),S. Damen Ave. (2000W),S. Ashland Ave. (1600W),80TH ST,DAMEN AVE,ASHLAND AVE
201,W. 66th St. (6600S),S. Halsted St. (800W),S. Stewart Ave. (400W),66TH ST,HALSTED ST,STEWART AVE
202,E. 90th St. (9000S),S. Dorchester Ave. (1400E),S. Jeffery Ave. (2000E),90TH ST,DORCHESTER AVE,JEFFERY AVE
203,W. Thomas St. (1100N),N. Pine Ave. (5500W),N. Cicero Ave. (4800W),THOMAS ST,PINE AVE,CICERO AVE
204,W. 53rd St. (5300S),S. Damen Ave. (2000W),S. Loomis Blvd. (1400W),53RD ST,DAMEN AVE,LOOMIS BLVD
205,S. Washtenaw Ave. (2700W),W. 19th St. (1900S),W. 26th St. (2600S),WASHTENAW AVE,19TH ST,26TH ST
206,E. 68th St. (6800S),. Dead end (),S. South Shore Dr. (7100S),68TH ST,RIDGELAND,SOUTH SHORE DR
207,S. Loomis St. (1400W),W. 97th St. (9700S),W. 99th St. (9900S),LOOMIS ST,97TH ST,99TH ST
208,E. 46th St. (4600S),S. Drexel Blvd. (900E),S. Woodlawn Ave. (1200E),46TH ST,DREXEL BLVD,WOODLAWN AVE
209,W. Berwyn Ave. (5300N),N. Nagle Ave. (6432W),N. Avondale Ave. (5928W),BERWYN AVE,NAGLE AVE,AVONDALE AVE
210,W. Seminole St. (5700N),N. Miltimore Ave. (5834W),N. Central Ave. (5600W),SEMINOLE ST,MILTIMORE AVE,CENTRAL AVE
211,W. Belden Ave. (2300N),N. Laporte Ave. (4932W),N. Kenton Ave. (4600W),BELDEN AVE,LAPORTE AVE,KENTON AVE
212,N. Kilpatrick Ave. (4700W),W. Augusta Blvd. (1000N),W. Dead End (500N),KILPATRICK AVE,AUGUSTA BLVD,FERDINAND ST
213,W. 60th St. (6000S),S. Damen Ave. (2000W),S. Racine Ave. (1200W),60TH ST,DAMEN AVE,RACINE AVE
214,W. Bloomingdale Ave. (1800N),N. Mobile Ave. (6300W),N. Long Ave. (5400W),BLOOMINGDALE AVE,MOBILE AVE,LONG AVE
215,W. 54th St. (5400S),S. Oak Park Ave. (6800W),S. Meade Ave. (6100W),54TH ST,OAK PARK AVE,MEADE AVE
216,W. Hastings St. (1332S),S. Leavitt St. (2200W),S. Ashland Ave. (1600W),HASTINGS ST,LEAVITT ST,ASHLAND AVE
217,S. Lumber St. (401W),S. Halsted St. (2300S),W. Dead End (2400S),LUMBER ST,HALSTED ST,MORGAN ST
218,E. 82nd St. (8200S),S. Cottage Grove Ave. (800E),S. Anthony Ave. (1800E),82ND ST,COTTAGE GROVE AVE,ANTHONY AVE
219,N. Long Ave. (5400W),W. Waveland Ave. (3700N),W. Belmont Ave. (3200N),LONG AVE,WAVELAND AVE,BELMONT AVE
220,W. Thorndale Ave. (5900N),N. Forest Glen Ave. (4632W),N. Kostner Ave. (4400W),THORNDALE AVE,FOREST GLEN AVE,KOSTNER AVE
221,N. Major Ave. (5700W),W. Irving Pk. Rd. (4000N),W. Belmont Ave. (3200N),MAJOR AVE,IRVING PARK RD,BELMONT AVE
222,N. Wolcott Ave. (1900W),N. Rogers Ave. (7400N),W. Pratt Ave. (6800N),WOLCOTT AVE,ROGERS AVE,PRATT AVE
223,E. 60th St. (6000S),S. State St. (0E),S. Cottage Grove Ave. (732E),60TH ST,STATE ST,COTTAGE GROVE AVE
224,W. Cornelia Ave. (3500N),N. Western Ave. (2400W),N. Damen Ave. (2000W),CORNELIA AVE,WESTERN AVE,DAMEN AVE
225,W. Rosemont Ave. (6300N),N. Rockwell St. (2600W),. Dead end (2114W),ROSEMONT AVE,ROCKWELL ST,HOYNE AVE
226,W. 53rd St. (5300S),S. Racine Ave. (1200W),S. Wallace St. (600W),53RD ST,RACINE AVE,WALLACE ST
227,N. Onarga Ave. (7200W),N. Oliphant Ave. (7800W),N. Ogallah Ave. (7542W),ONARGA AVE,OLIPHANT AVE,OGALLAH AVE
228,W. Ibsen St. (6900N),N. Overhill Ave. (7700W),N. Harlem Ave. (7200W),IBSEN ST,OVERHILL AVE,HARLEM AVE
229,W. Lunt Av. (7000N),N. Oriole Ave. (7600W),N. Harlem Ave. (7200W),LUNT AVE,ORIOLE AVE,HARLEM AVE
230,N. Lamon Ave. (4900W),N. Roscoe St. (3400N),N. Nelson St. (3032N),LAMON AVE,ROSCOE ST,NELSON ST
231,W. Berteau Ave. (4200N),N. Kedzie Ave. (3200W),N. Sacramento Ave. (3000W),BERTEAU AVE,KEDZIE AVE,SACRAMENTO AVE
232,W. Grace St. (3800N),N. St. Louis Ave. (3500W),N. Kedzie Ave. (3200W),GRACE ST,ST LOUIS AVE,KEDZIE AVE
233,N. Lamon Ave. (4900W),W. Oakdale Ave. (2932N),W. Belden Ave. (2300N),LAMON AVE,OAKDALE AVE,BELDEN AVE
234,TEST,TEST,TEST, HARDING AVE, FERDINAND ST, DEAD END
235,TEST,TEST,TEST, HARDING AVE,DEAD END,LAKE ST
236,TEST,TEST,TEST, 109TH ST,AVENUE L,DEAD END
